player_ranking,tourney_year,tourney_name,tourney_location,tourney_dates,tourney_conditions,tourney_surface,opponent_name,match_win_loss,match_score
13,2002,Sydney,"Sydney, Australia",2002.01.07 - 2002.01.13,Outdoor,Hard,Tommy Robredo,W,76(5) 76(5) 
3,2003,Tennis Masters Cup,"Houston, TX, USA",2003.11.10 - 2003.11.16,Outdoor,Hard,Andre Agassi,W,63 60 64
3,2003,Tennis Masters Cup,"Houston, TX, USA",2003.11.10 - 2003.11.16,Outdoor,Hard,Andy Roddick,W,76(2) 62
3,2003,Tennis Masters Cup,"Houston, TX, USA",2003.11.10 - 2003.11.16,Outdoor,Hard,Juan Carlos Ferrero,W,63 61
3,2003,Tennis Masters Cup,"Houston, TX, USA",2003.11.10 - 2003.11.16,Outdoor,Hard,David Nalbandian,W,63 60
3,2003,Tennis Masters Cup,"Houston, TX, USA",2003.11.10 - 2003.11.16,Outdoor,Hard,Andre Agassi,W,67(3) 63 76(7) 
3,2003,ATP World Tour Masters 1000 Paris,"Paris, France",2003.10.27 - 2003.11.02,Indoor,Hard,Tim Henman,L,67(5) 16
3,2003,ATP World Tour Masters 1000 Paris,"Paris, France",2003.10.27 - 2003.11.02,Indoor,Hard,Martin Verkerk,W,67(3) 76(12) 76(6) 
3,2003,ATP World Tour Masters 1000 Paris,"Paris, France",2003.10.27 - 2003.11.02,Indoor,Hard,Thierry Ascione,W,76(5) 61
3,2003,Basel,"Basel, Switzerland",2003.10.20 - 2003.10.26,Indoor,Carpet,Ivan Ljubicic,L,67(5) 76(5) 46
3,2003,Basel,"Basel, Switzerland",2003.10.20 - 2003.10.26,Indoor,Carpet,Marc Rosset,W,61 63
3,2003,ATP Masters Series Madrid,"Madrid, Spain",2003.10.13 - 2003.10.19,Indoor,Hard,Juan Carlos Ferrero,L,46 64 46
3,2003,ATP Masters Series Madrid,"Madrid, Spain",2003.10.13 - 2003.10.19,Indoor,Hard,Feliciano Lopez,W,46 76(3) 64
3,2003,ATP Masters Series Madrid,"Madrid, Spain",2003.10.13 - 2003.10.19,Indoor,Hard,Mardy Fish,W,63 76(4) 
3,2003,ATP Masters Series Madrid,"Madrid, Spain",2003.10.13 - 2003.10.19,Indoor,Hard,Alex Corretja,W,64 63
